"Duration","Start date","End date","Start station number","Start station","End station number","End station","Bike number","Member type"
370,"2019-04-01 07:18:47","2019-04-01 07:24:57",31636,"New Jersey Ave & N St NW/Dunbar HS",31263,"10th & K St NW",78089,"Member"
674,"2019-04-01 07:18:50","2019-04-01 07:30:04",31022,"Clarendon Metro / Wilson Blvd & N Highland St",31014,"Lynn St & 19th St North","W22970","Member"
533,"2019-04-01 07:19:05","2019-04-01 07:27:58",31280,"11th & S St NW",31200,"Massachusetts Ave & Dupont Circle NW","W00315","Member"
568,"2019-04-01 07:19:15","2019-04-01 07:28:43",31805,"Pennsylvania & Minnesota Ave SE",31601,"19th & East Capitol St SE","W00615","Member"
302,"2019-04-01 07:19:28","2019-04-01 07:24:30",31202,"14th & R St NW",31239,"Rhode Island & Connecticut Ave NW",77816,"Member"
4224,"2019-04-01 07:19:54","2019-04-01 08:30:18",32066,"Windham Ln & Amherst Ave",31620,"5th & F St NW","W20030","Member"
195,"2019-04-01 07:20:01","2019-04-01 07:23:16",31296,"Columbia & Ontario Rd NW",31121,"Calvert St & Woodley Pl NW","W20084","Member"
467,"2019-04-01 07:20:02","2019-04-01 07:27:49",31237,"25th St & Pennsylvania Ave NW",31213,"17th & K St NW","W24056","Member"
680,"2019-04-01 07:20:03","2019-04-01 07:31:23",31623,"Columbus Circle / Union Station",31208,"M St & New Jersey Ave SE",78173,"Member"
448,"2019-04-01 07:20:11","2019-04-01 07:27:40",31640,"Maryland Ave & E St NE",31613,"Eastern Market Metro / Pennsylvania Ave & 7th St SE",75484,"Member"
540,"2019-04-01 07:20:22","2019-04-01 07:29:22",31631,"8th & F St NE",31621,"4th & D St NW / Judiciary Square","W22281","Member"
864,"2019-04-01 07:20:25","2019-04-01 07:34:49",31503,"Florida Ave & R St NW",31238,"14th & G St NW","W21128","Member"
442,"2019-04-01 07:21:01","2019-04-01 07:28:23",31233,"17th & K St NW / Farragut Square",31286,"11th & O St NW",78174,"Member"
303,"2019-04-01 07:21:07","2019-04-01 07:26:11",31234,"20th & O St NW / Dupont South",31205,"21st & I St NW","W20383","Member"
444,"2019-04-01 07:21:26","2019-04-01 07:28:51",31657,"Massachusetts Ave & 6th St NE",31272,"Washington & Independence Ave SW/HHS","W00067","Member"
579,"2019-04-01 07:21:29","2019-04-01 07:31:08",31037,"Ballston Metro / Stuart St & 9th St N",31037,"Ballston Metro / Stuart St & 9th St N","W23833","Member"
837,"2019-04-01 07:21:31","2019-04-01 07:35:29",31116,"California St & Florida Ave NW",31230,"Metro Center / 12th & G St NW","W21083","Member"
478,"2019-04-01 07:21:45","2019-04-01 07:29:43",31623,"Columbus Circle / Union Station",31272,"Washington & Independence Ave SW/HHS","W23956","Member"
1288,"2019-04-01 07:21:47","2019-04-01 07:43:15",31212,"21st & M St NW",31517,"Union Market","W20654","Member"
337,"2019-04-01 07:21:48","2019-04-01 07:27:26",31117,"15th & Euclid St  NW",31124,"14th & Irving St NW","W20506","Member"
599,"2019-04-01 07:21:54","2019-04-01 07:31:53",31118,"3rd & Elm St NW",31653,"7th & K St NW","W20839","Member"
342,"2019-04-01 07:21:59","2019-04-01 07:27:41",31116,"California St & Florida Ave NW",31101,"14th & V St NW","W00709","Member"
840,"2019-04-01 07:22:05","2019-04-01 07:36:06",31102,"11th & Kenyon St NW",31221,"18th & M St NW","W23186","Member"
304,"2019-04-01 07:22:15","2019-04-01 07:27:20",31203,"14th & Rhode Island Ave NW",31233,"17th & K St NW / Farragut Square","W00205","Member"
262,"2019-04-01 07:22:15","2019-04-01 07:26:38",31203,"14th & Rhode Island Ave NW",31283,"14th & L St NW","W20517","Member"
383,"2019-04-01 07:22:16","2019-04-01 07:28:40",31623,"Columbus Circle / Union Station",31269,"3rd St & Pennsylvania Ave SE","W20724","Member"
689,"2019-04-01 07:22:17","2019-04-01 07:33:46",31623,"Columbus Circle / Union Station",31230,"Metro Center / 12th & G St NW","W20486","Member"
1044,"2019-04-01 07:22:35","2019-04-01 07:39:59",31248,"Smithsonian-National Mall / Jefferson Dr & 12th St SW",31064,"Gravelly Point","W21395","Member"
570,"2019-04-01 07:22:42","2019-04-01 07:32:13",31623,"Columbus Circle / Union Station",31628,"1st & K St SE","W00597","Member"
397,"2019-04-01 07:22:42","2019-04-01 07:29:20",31622,"13th & D St NE",31613,"Eastern Market Metro / Pennsylvania Ave & 7th St SE","W24030","Member"
654,"2019-04-01 07:22:42","2019-04-01 07:33:37",31623,"Columbus Circle / Union Station",31219,"10th St & Constitution Ave NW","W23848","Member"
253,"2019-04-01 07:22:43","2019-04-01 07:26:56",31324,"18th & New Hampshire Ave NW",31100,"19th St & Pennsylvania Ave NW","W22106","Member"
144,"2019-04-01 07:22:49","2019-04-01 07:25:14",31091,"Joyce St & 16th St S",31005,"Pentagon City Metro / 12th St & S Hayes St","W20443","Member"
477,"2019-04-01 07:22:52","2019-04-01 07:30:50",31623,"Columbus Circle / Union Station",31272,"Washington & Independence Ave SW/HHS","W20450","Member"
245,"2019-04-01 07:22:59","2019-04-01 07:27:05",31229,"New Hampshire Ave & T St NW",31200,"Massachusetts Ave & Dupont Circle NW","W21600","Member"
141,"2019-04-01 07:23:00","2019-04-01 07:25:21",31307,"3000 Connecticut Ave NW / National Zoo",31305,"Connecticut Ave & Newark St NW / Cleveland Park","W21364","Member"
109,"2019-04-01 07:23:02","2019-04-01 07:24:51",31630,"15th & East Capitol St NE",31601,"19th & East Capitol St SE","W23773","Member"
612,"2019-04-01 07:23:03","2019-04-01 07:33:15",31065,"Pershing Dr & Wayne St",31917,"N Lynn St & Fairfax Dr","W20479","Member"
2748,"2019-04-01 07:23:05","2019-04-01 08:08:54",31240,"Ohio Dr & West Basin Dr SW / MLK & FDR Memorials",31258,"Lincoln Memorial","W00186","Member"
233,"2019-04-01 07:23:13","2019-04-01 07:27:06",31624,"North Capitol St & F St NW",31228,"8th & H St NW","W24027","Member"
213,"2019-04-01 07:23:23","2019-04-01 07:26:56",31620,"5th & F St NW",31262,"11th & F St NW","W20469","Member"
556,"2019-04-01 07:23:25","2019-04-01 07:32:42",32067,"Shady Grove Metro East",32020,"Crabbs Branch Way & Calhoun Pl",75446,"Member"
475,"2019-04-01 07:23:27","2019-04-01 07:31:22",31605,"3rd & D St SE",31615,"6th & H St NE","W22385","Member"
223,"2019-04-01 07:23:32","2019-04-01 07:27:16",31218,"L'Enfant Plaza / 7th & C St SW",31217,"USDA / 12th & C St SW","W21005","Member"
333,"2019-04-01 07:23:39","2019-04-01 07:29:12",31237,"25th St & Pennsylvania Ave NW",31213,"17th & K St NW",70004,"Member"
1618,"2019-04-01 07:23:42","2019-04-01 07:50:41",31099,"Madison St & N Henry St",31071,"Eads St & 12th St S","W24025","Member"
1371,"2019-04-01 07:23:49","2019-04-01 07:46:40",31290,"17th St & Independence Ave SW",31612,"D St & Maryland Ave NE","W24002","Member"
257,"2019-04-01 07:23:50","2019-04-01 07:28:07",31093,"21st St & N Pierce St",31014,"Lynn St & 19th St North","W00279","Member"
318,"2019-04-01 07:23:52","2019-04-01 07:29:10",31229,"New Hampshire Ave & T St NW",31233,"17th & K St NW / Farragut Square","W22339","Member"
414,"2019-04-01 07:23:53","2019-04-01 07:30:47",31101,"14th & V St NW",31200,"Massachusetts Ave & Dupont Circle NW","W20091","Member"
853,"2019-04-01 07:23:54","2019-04-01 07:38:07",31270,"8th & D St NW",31231,"14th & D St NW / Ronald Reagan Building","W20222","Member"
1280,"2019-04-01 07:23:59","2019-04-01 07:45:19",31504,"10th & Monroe St NE",31271,"Constitution Ave & 2nd St NW/DOL","W24157","Member"
1263,"2019-04-01 07:24:00","2019-04-01 07:45:03",31623,"Columbus Circle / Union Station",31277,"17th & G St NW","W23851","Member"
183,"2019-04-01 07:24:06","2019-04-01 07:27:10",31624,"North Capitol St & F St NW",31621,"4th & D St NW / Judiciary Square","W22518","Member"
902,"2019-04-01 07:24:25","2019-04-01 07:39:27",31116,"California St & Florida Ave NW",31277,"17th & G St NW","W22364","Member"
749,"2019-04-01 07:24:28","2019-04-01 07:36:57",31623,"Columbus Circle / Union Station",31217,"USDA / 12th & C St SW","W23028","Member"
1491,"2019-04-01 07:24:33","2019-04-01 07:49:25",31515,"Fort Totten Metro",31212,"21st & M St NW",75485,"Member"
974,"2019-04-01 07:24:41","2019-04-01 07:40:55",31296,"Columbia & Ontario Rd NW",31295,"Potomac & M St NW","W23088","Member"
230,"2019-04-01 07:24:45","2019-04-01 07:28:36",31213,"17th & K St NW",31298,"15th & M St NW","W20502","Member"
259,"2019-04-01 07:25:01","2019-04-01 07:29:20",31614,"11th & H St NE",31623,"Columbus Circle / Union Station",75705,"Member"
473,"2019-04-01 07:25:02","2019-04-01 07:32:55",31647,"7th St & Massachusetts Ave NE",31625,"3rd & G St SE","W01396","Member"
348,"2019-04-01 07:25:11","2019-04-01 07:30:59",31229,"New Hampshire Ave & T St NW",31233,"17th & K St NW / Farragut Square","W22943","Member"
1022,"2019-04-01 07:25:30","2019-04-01 07:42:32",31101,"14th & V St NW",31292,"22nd St & Constitution Ave NW","W23072","Member"
843,"2019-04-01 07:25:31","2019-04-01 07:39:34",31263,"10th & K St NW",31297,"Virginia Ave & 25th St NW","W23517","Member"
470,"2019-04-01 07:25:31","2019-04-01 07:33:22",31509,"New Jersey Ave & R St NW",31201,"15th & P St NW",75628,"Member"
273,"2019-04-01 07:25:37","2019-04-01 07:30:10",31610,"Eastern Market / 7th & North Carolina Ave SE",31626,"15th St & Massachusetts Ave SE",78321,"Member"
612,"2019-04-01 07:25:44","2019-04-01 07:35:56",31305,"Connecticut Ave & Newark St NW / Cleveland Park",31308,"39th & Veazey St NW",78315,"Member"
208,"2019-04-01 07:25:53","2019-04-01 07:29:21",31119,"14th & Belmont St NW",31229,"New Hampshire Ave & T St NW","W01393","Member"
357,"2019-04-01 07:26:10","2019-04-01 07:32:08",31282,"16th & R St NW",31286,"11th & O St NW","W20788","Member"
266,"2019-04-01 07:26:25","2019-04-01 07:30:51",31265,"5th St & Massachusetts Ave NW",31621,"4th & D St NW / Judiciary Square","W20558","Member"
239,"2019-04-01 07:26:40","2019-04-01 07:30:40",31266,"11th & M St NW",31298,"15th & M St NW","W01337","Member"
773,"2019-04-01 07:26:51","2019-04-01 07:39:44",31126,"11th & Girard St NW",31255,"24th & N St NW","W20819","Member"
405,"2019-04-01 07:27:02","2019-04-01 07:33:47",31117,"15th & Euclid St  NW",31121,"Calvert St & Woodley Pl NW","W20979","Member"
1161,"2019-04-01 07:27:18","2019-04-01 07:46:39",31126,"11th & Girard St NW",31284,"18th & C St NW","W23412","Member"
14340,"2019-04-01 07:27:32","2019-04-01 11:26:33",31640,"Maryland Ave & E St NE",31613,"Eastern Market Metro / Pennsylvania Ave & 7th St SE","W00944","Member"
1439,"2019-04-01 07:27:34","2019-04-01 07:51:33",31202,"14th & R St NW",31500,"4th & W St NE","W20832","Member"
484,"2019-04-01 07:27:35","2019-04-01 07:35:40",31619,"Lincoln Park / 13th & East Capitol St NE ",31623,"Columbus Circle / Union Station","W20245","Member"
266,"2019-04-01 07:27:41","2019-04-01 07:32:07",31281,"8th & O St NW",31263,"10th & K St NW","W23435","Member"
499,"2019-04-01 07:27:42","2019-04-01 07:36:01",31915,"Powhatan St & Bashford Ln",31047,"Braddock Rd Metro","W00966","Member"
431,"2019-04-01 07:27:51","2019-04-01 07:35:03",31629,"8th & East Capitol St NE",31623,"Columbus Circle / Union Station","W23699","Member"
295,"2019-04-01 07:27:56","2019-04-01 07:32:52",31266,"11th & M St NW",31227,"13th St & New York Ave NW","W21178","Member"
360,"2019-04-01 07:27:57","2019-04-01 07:33:57",31116,"California St & Florida Ave NW",31268,"12th & U St NW","W01115","Member"
630,"2019-04-01 07:28:17","2019-04-01 07:38:48",31296,"Columbia & Ontario Rd NW",31275,"New Hampshire Ave & 24th St NW","W00605","Member"
1147,"2019-04-01 07:28:20","2019-04-01 07:47:27",31619,"Lincoln Park / 13th & East Capitol St NE ",31222,"New York Ave & 15th St NW","W23952","Member"
1552,"2019-04-01 07:28:22","2019-04-01 07:54:14",31064,"Gravelly Point",31238,"14th & G St NW","W23873","Member"
619,"2019-04-01 07:28:27","2019-04-01 07:38:47",31658,"Rosedale Rec Center",31623,"Columbus Circle / Union Station","W21791","Member"
1073,"2019-04-01 07:28:32","2019-04-01 07:46:25",31290,"17th St & Independence Ave SW",31236,"37th & O St NW / Georgetown University",78363,"Member"
898,"2019-04-01 07:28:36","2019-04-01 07:43:35",31519,"1st & O St NW",31221,"18th & M St NW","W22210","Member"
359,"2019-04-01 07:28:50","2019-04-01 07:34:50",31229,"New Hampshire Ave & T St NW",31213,"17th & K St NW","W20846","Member"
233,"2019-04-01 07:28:54","2019-04-01 07:32:47",31623,"Columbus Circle / Union Station",31271,"Constitution Ave & 2nd St NW/DOL","W22891","Member"
386,"2019-04-01 07:29:07","2019-04-01 07:35:34",31640,"Maryland Ave & E St NE",31613,"Eastern Market Metro / Pennsylvania Ave & 7th St SE","W23921","Member"
494,"2019-04-01 07:29:11","2019-04-01 07:37:25",31114,"18th St & Wyoming Ave NW",31298,"15th & M St NW","W23990","Member"
455,"2019-04-01 07:29:12","2019-04-01 07:36:47",31013,"Eads St & 22nd St S",31005,"Pentagon City Metro / 12th St & S Hayes St","W22796","Member"
413,"2019-04-01 07:29:23","2019-04-01 07:36:17",31914,"Lee Center",31048,"King St Metro South","W20240","Member"
882,"2019-04-01 07:29:27","2019-04-01 07:44:10",31640,"Maryland Ave & E St NE",31108,"4th & M St SW","W24096","Member"
406,"2019-04-01 07:29:28","2019-04-01 07:36:15",31400,"Georgia & New Hampshire Ave NW",31107,"Lamont & Mt Pleasant NW","W21528","Member"
665,"2019-04-01 07:29:37","2019-04-01 07:40:43",31106,"Calvert & Biltmore St NW",31277,"17th & G St NW","W23748","Member"
107,"2019-04-01 07:29:40","2019-04-01 07:31:28",31208,"M St & New Jersey Ave SE",31652,"4th & M St SE","W23671","Member"
300,"2019-04-01 07:29:44","2019-04-01 07:34:45",31640,"Maryland Ave & E St NE",31623,"Columbus Circle / Union Station","W23910","Member"
817,"2019-04-01 07:29:49","2019-04-01 07:43:27",31500,"4th & W St NE",31201,"15th & P St NW","W01072","Member"
770,"2019-04-01 07:29:51","2019-04-01 07:42:41",31118,"3rd & Elm St NW",31298,"15th & M St NW","W00620","Member"
286,"2019-04-01 07:29:54","2019-04-01 07:34:41",32024,"Fenton St & Gist Ave",32034,"Ripley & Bonifant St","W23160","Member"
746,"2019-04-01 07:29:57","2019-04-01 07:42:24",31606,"Potomac & Pennsylvania Ave SE",31624,"North Capitol St & F St NW","W01419","Member"
606,"2019-04-01 07:30:02","2019-04-01 07:40:08",31245,"7th & R St NW / Shaw Library",31254,"15th & K St NW","W23606","Member"
817,"2019-04-01 07:30:20","2019-04-01 07:43:58",31506,"1st & Rhode Island Ave NW",31200,"Massachusetts Ave & Dupont Circle NW","W00280","Member"
965,"2019-04-01 07:30:31","2019-04-01 07:46:36",31245,"7th & R St NW / Shaw Library",31128,"23rd & M St NW","W00808","Member"
535,"2019-04-01 07:30:35","2019-04-01 07:39:30",31113,"Columbia Rd & Belmont St NW",31128,"23rd & M St NW","W00993","Member"
917,"2019-04-01 07:30:39","2019-04-01 07:45:56",31126,"11th & Girard St NW",31233,"17th & K St NW / Farragut Square","W20960","Member"
941,"2019-04-01 07:30:45","2019-04-01 07:46:27",31102,"11th & Kenyon St NW",31275,"New Hampshire Ave & 24th St NW","W22615","Member"
1006,"2019-04-01 07:30:58","2019-04-01 07:47:45",31283,"14th & L St NW",31640,"Maryland Ave & E St NE",75594,"Member"
262,"2019-04-01 07:31:06","2019-04-01 07:35:28",31657,"Massachusetts Ave & 6th St NE",31623,"Columbus Circle / Union Station","W24046","Member"
262,"2019-04-01 07:31:09","2019-04-01 07:35:31",31629,"8th & East Capitol St NE",31613,"Eastern Market Metro / Pennsylvania Ave & 7th St SE","W21775","Member"
658,"2019-04-01 07:31:13","2019-04-01 07:42:12",31323,"Woodley Park Metro / Calvert St & Connecticut Ave NW",31212,"21st & M St NW","W22744","Member"
670,"2019-04-01 07:31:16","2019-04-01 07:42:26",31119,"14th & Belmont St NW",31212,"21st & M St NW","W21899","Member"
332,"2019-04-01 07:31:16","2019-04-01 07:36:48",31283,"14th & L St NW",31277,"17th & G St NW","W20517","Member"
761,"2019-04-01 07:31:21","2019-04-01 07:44:03",31290,"17th St & Independence Ave SW",31221,"18th & M St NW","W22818","Member"
343,"2019-04-01 07:31:25","2019-04-01 07:37:08",31043,"Saint Asaph St & Pendleton  St",31047,"Braddock Rd Metro","W23293","Member"
1276,"2019-04-01 07:31:27","2019-04-01 07:52:44",31615,"6th & H St NE",31204,"20th & E St NW","W23642","Member"
489,"2019-04-01 07:31:30","2019-04-01 07:39:39",31268,"12th & U St NW",31200,"Massachusetts Ave & Dupont Circle NW","W22965","Member"
239,"2019-04-01 07:31:30","2019-04-01 07:35:30",31657,"Massachusetts Ave & 6th St NE",31623,"Columbus Circle / Union Station","W21013","Member"
309,"2019-04-01 07:31:41","2019-04-01 07:36:51",31128,"23rd & M St NW",31250,"20th & L St NW","W01498","Member"
162,"2019-04-01 07:31:44","2019-04-01 07:34:26",32068,"Columbus Ave & Tribeca St",32067,"Shady Grove Metro East","W00025","Member"
393,"2019-04-01 07:31:52","2019-04-01 07:38:25",31110,"20th St & Florida Ave NW",31275,"New Hampshire Ave & 24th St NW","W22609","Member"
621,"2019-04-01 07:32:08","2019-04-01 07:42:29",31119,"14th & Belmont St NW",31212,"21st & M St NW","W01455","Member"
317,"2019-04-01 07:32:09","2019-04-01 07:37:26",31619,"Lincoln Park / 13th & East Capitol St NE ",31613,"Eastern Market Metro / Pennsylvania Ave & 7th St SE","W20570","Member"
948,"2019-04-01 07:32:19","2019-04-01 07:48:07",31265,"5th St & Massachusetts Ave NW",31613,"Eastern Market Metro / Pennsylvania Ave & 7th St SE","W23630","Member"
170,"2019-04-01 07:32:28","2019-04-01 07:35:19",31509,"New Jersey Ave & R St NW",31245,"7th & R St NW / Shaw Library","W20762","Member"
1029,"2019-04-01 07:32:31","2019-04-01 07:49:40",31124,"14th & Irving St NW",31100,"19th St & Pennsylvania Ave NW","W23792","Member"
929,"2019-04-01 07:32:41","2019-04-01 07:48:11",31406,"14th & Upshur St NW",31241,"Thomas Circle","W20532","Member"
171,"2019-04-01 07:33:21","2019-04-01 07:36:12",31114,"18th St & Wyoming Ave NW",31200,"Massachusetts Ave & Dupont Circle NW","W20980","Member"
549,"2019-04-01 07:33:22","2019-04-01 07:42:31",31296,"Columbia & Ontario Rd NW",31275,"New Hampshire Ave & 24th St NW","W22988","Member"
219,"2019-04-01 07:33:23","2019-04-01 07:37:03",31257,"22nd & I St NW / Foggy Bottom",31206,"19th & E Street NW",75611,"Member"
1050,"2019-04-01 07:33:23","2019-04-01 07:50:54",31627,"3rd & M St NE",31628,"1st & K St SE",75651,"Member"
285,"2019-04-01 07:33:24","2019-04-01 07:38:10",31600,"5th & K St NW",31262,"11th & F St NW","W01338","Member"
967,"2019-04-01 07:33:38","2019-04-01 07:49:45",31519,"1st & O St NW",31221,"18th & M St NW","W22590","Member"
262,"2019-04-01 07:33:45","2019-04-01 07:38:08",31600,"5th & K St NW",31227,"13th St & New York Ave NW","W21726","Member"
339,"2019-04-01 07:33:52","2019-04-01 07:39:32",31117,"15th & Euclid St  NW",31201,"15th & P St NW","W20636","Member"
448,"2019-04-01 07:33:54","2019-04-01 07:41:23",31281,"8th & O St NW",31637,"North Capitol St & G Pl NE","W23998","Member"
492,"2019-04-01 07:33:57","2019-04-01 07:42:10",31629,"8th & East Capitol St NE",31613,"Eastern Market Metro / Pennsylvania Ave & 7th St SE","W20357","Member"
544,"2019-04-01 07:34:00","2019-04-01 07:43:05",31229,"New Hampshire Ave & T St NW",31231,"14th & D St NW / Ronald Reagan Building","W01393","Member"
504,"2019-04-01 07:34:04","2019-04-01 07:42:28",31269,"3rd St & Pennsylvania Ave SE",31244,"4th & E St SW","W00110","Member"
279,"2019-04-01 07:34:07","2019-04-01 07:38:47",31229,"New Hampshire Ave & T St NW",31233,"17th & K St NW / Farragut Square","W01032","Member"
1330,"2019-04-01 07:34:11","2019-04-01 07:56:21",32072,"Key West Ave & Diamondback Dr",32045,"Shady Grove Metro West","W23837","Member"
1018,"2019-04-01 07:34:12","2019-04-01 07:51:11",31500,"4th & W St NE",31272,"Washington & Independence Ave SW/HHS","W23602","Member"
749,"2019-04-01 07:34:14","2019-04-01 07:46:44",31026,"Washington Blvd & 10th St N",31078,"Arlington Blvd & S George Mason Dr","W20149","Member"
1134,"2019-04-01 07:34:34","2019-04-01 07:53:28",31101,"14th & V St NW",31638,"1st & H St NW","W00709","Member"
248,"2019-04-01 07:34:36","2019-04-01 07:38:44",31289,"Henry Bacon Dr & Lincoln Memorial Circle NW",31260,"23rd & E St NW ","W01101","Member"
668,"2019-04-01 07:34:40","2019-04-01 07:45:48",31120,"10th & Florida Ave NW",31642,"New Jersey Ave & L St NW","W20326","Member"
241,"2019-04-01 07:34:46","2019-04-01 07:38:47",31285,"22nd & P ST NW",31257,"22nd & I St NW / Foggy Bottom","W23836","Member"
246,"2019-04-01 07:34:47","2019-04-01 07:38:54",31415,"Georgia Ave & Kennedy St NW",31407,"14th St & Colorado Ave NW","W23042","Member"
486,"2019-04-01 07:34:58","2019-04-01 07:43:05",31626,"15th St & Massachusetts Ave SE",31623,"Columbus Circle / Union Station",78321,"Member"
807,"2019-04-01 07:34:58","2019-04-01 07:48:26",31201,"15th & P St NW",31220,"US Dept of State / Virginia Ave & 21st St NW","W00630","Member"
359,"2019-04-01 07:35:07","2019-04-01 07:41:07",31263,"10th & K St NW",31231,"14th & D St NW / Ronald Reagan Building","W23435","Member"
223,"2019-04-01 07:35:10","2019-04-01 07:38:54",31312,"Wisconsin Ave & O St NW",31246,"M St & Pennsylvania Ave NW","W23519","Member"
607,"2019-04-01 07:35:10","2019-04-01 07:45:18",31270,"8th & D St NW",31284,"18th & C St NW","W23934","Member"
177,"2019-04-01 07:35:20","2019-04-01 07:38:18",31118,"3rd & Elm St NW",31109,"7th & T St NW","W24037","Member"
364,"2019-04-01 07:35:26","2019-04-01 07:41:31",31030,"Lee Hwy & N Adams St",31089,"Court House Metro / 15th St & N Uhle St","W00577","Member"
870,"2019-04-01 07:35:50","2019-04-01 07:50:20",31122,"16th & Irving St NW",31291,"Vermont Ave & I St NW","W23552","Member"
726,"2019-04-01 07:35:53","2019-04-01 07:47:59",31218,"L'Enfant Plaza / 7th & C St SW",31261,"21st St & Constitution Ave NW","W01313","Member"
1009,"2019-04-01 07:35:57","2019-04-01 07:52:47",31116,"California St & Florida Ave NW",31219,"10th St & Constitution Ave NW","W00976","Member"
228,"2019-04-01 07:36:03","2019-04-01 07:39:52",31265,"5th St & Massachusetts Ave NW",31223,"Convention Center / 7th & M St NW","W24028","Member"
808,"2019-04-01 07:36:05","2019-04-01 07:49:34",31107,"Lamont & Mt Pleasant NW",31233,"17th & K St NW / Farragut Square","W24140","Member"
766,"2019-04-01 07:36:14","2019-04-01 07:49:00",31308,"39th & Veazey St NW",32040,"Friendship Blvd & Willard Ave",78315,"Member"
1083,"2019-04-01 07:36:21","2019-04-01 07:54:25",31126,"11th & Girard St NW",31231,"14th & D St NW / Ronald Reagan Building","W22415","Member"
451,"2019-04-01 07:36:29","2019-04-01 07:44:00",31267,"17th St & Massachusetts Ave NW",31216,"14th St & New York Ave NW","W23118","Member"
603,"2019-04-01 07:36:43","2019-04-01 07:46:46",31119,"14th & Belmont St NW",31231,"14th & D St NW / Ronald Reagan Building","W23727","Member"
1237,"2019-04-01 07:37:05","2019-04-01 07:57:42",31640,"Maryland Ave & E St NE",31251,"12th & L St NW","W21754","Member"
482,"2019-04-01 07:37:05","2019-04-01 07:45:08",31111,"10th & U St NW",31266,"11th & M St NW","W23970","Member"
403,"2019-04-01 07:37:06","2019-04-01 07:43:49",31615,"6th & H St NE",31655,"New Jersey Ave & F St NW","W22385","Member"
642,"2019-04-01 07:37:06","2019-04-01 07:47:48",31298,"15th & M St NW",31217,"USDA / 12th & C St SW","W21256","Member"
884,"2019-04-01 07:37:09","2019-04-01 07:51:54",31286,"11th & O St NW",31236,"37th & O St NW / Georgetown University",78174,"Member"
1225,"2019-04-01 07:37:28","2019-04-01 07:57:54",31105,"14th & Harvard St NW",31243,"4th & C St SW","W22270","Member"
279,"2019-04-01 07:37:28","2019-04-01 07:42:07",31119,"14th & Belmont St NW",31124,"14th & Irving St NW","W01411","Member"
781,"2019-04-01 07:37:41","2019-04-01 07:50:43",31614,"11th & H St NE",31635,"Potomac Ave & 8th St SE",78383,"Member"
405,"2019-04-01 07:37:53","2019-04-01 07:44:38",31213,"17th & K St NW",31220,"US Dept of State / Virginia Ave & 21st St NW","W22313","Member"
261,"2019-04-01 07:37:53","2019-04-01 07:42:14",31303,"Tenleytown / Wisconsin Ave & Albemarle St NW",31310,"Connecticut & Nebraska Ave NW",78202,"Member"
154,"2019-04-01 07:37:55","2019-04-01 07:40:30",31034,"Fairfax Dr & N Randolph St",31024,"Virginia Square Metro / Monroe St & 9th St N","W23900","Member"
271,"2019-04-01 07:37:59","2019-04-01 07:42:31",31083,"Potomac Greens Dr & Slaters Ln",31047,"Braddock Rd Metro","W22224","Member"
1075,"2019-04-01 07:37:59","2019-04-01 07:55:55",31115,"Columbia Rd & Georgia Ave NW",31291,"Vermont Ave & I St NW","W22086","Member"
1269,"2019-04-01 07:38:01","2019-04-01 07:59:10",31627,"3rd & M St NE",31205,"21st & I St NW","W22769","Member"
932,"2019-04-01 07:38:04","2019-04-01 07:53:37",31257,"22nd & I St NW / Foggy Bottom",31126,"11th & Girard St NW",75442,"Member"
664,"2019-04-01 07:38:05","2019-04-01 07:49:10",31245,"7th & R St NW / Shaw Library",31110,"20th St & Florida Ave NW",75521,"Member"
1156,"2019-04-01 07:38:12","2019-04-01 07:57:29",31506,"1st & Rhode Island Ave NW",31291,"Vermont Ave & I St NW","W23266","Member"
246,"2019-04-01 07:38:12","2019-04-01 07:42:18",31267,"17th St & Massachusetts Ave NW",31233,"17th & K St NW / Farragut Square","W24024","Member"
276,"2019-04-01 07:38:19","2019-04-01 07:42:55",31227,"13th St & New York Ave NW",31277,"17th & G St NW",78325,"Member"
768,"2019-04-01 07:38:19","2019-04-01 07:51:08",31112,"Harvard St & Adams Mill Rd NW",31221,"18th & M St NW",78109,"Member"
358,"2019-04-01 07:38:29","2019-04-01 07:44:27",31047,"Braddock Rd Metro",31043,"Saint Asaph St & Pendleton  St","W23293","Member"
192,"2019-04-01 07:38:35","2019-04-01 07:41:47",31286,"11th & O St NW",31281,"8th & O St NW","W01301","Member"
319,"2019-04-01 07:38:39","2019-04-01 07:43:58",31243,"4th & C St SW",31271,"Constitution Ave & 2nd St NW/DOL","W23967","Member"
250,"2019-04-01 07:38:40","2019-04-01 07:42:51",31514,"Hamlin & 7th St NE",31504,"10th & Monroe St NE","W20223","Member"
327,"2019-04-01 07:38:45","2019-04-01 07:44:13",31628,"1st & K St SE",31272,"Washington & Independence Ave SW/HHS","W23914","Member"
1068,"2019-04-01 07:38:58","2019-04-01 07:56:46",31406,"14th & Upshur St NW",31603,"1st & M St NE",78364,"Member"
496,"2019-04-01 07:39:02","2019-04-01 07:47:19",31638,"1st & H St NW",31272,"Washington & Independence Ave SW/HHS","W21014","Member"
203,"2019-04-01 07:39:06","2019-04-01 07:42:29",31631,"8th & F St NE",31623,"Columbus Circle / Union Station",78274,"Member"
336,"2019-04-01 07:39:31","2019-04-01 07:45:07",31213,"17th & K St NW",31214,"17th & Corcoran St NW",70004,"Member"
